Company Name,Industry,Symbol,logo
BEML Ltd.,Capital Goods,BEML.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500048.png
BLS International Services Ltd.,Consumer Services,BLS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540073.png
BSE Ltd.,Financial Services,BSE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK201890.png
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532977.png
Bajaj Finance Ltd.,Financial Services,BAJFINANCE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500034.png
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532978.png
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500490.png
Balaji Amines Ltd.,Chemicals,BALAMINES.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK530999.png
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK502355.png
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500038.png
Bandhan Bank Ltd.,Financial Services,BANDHANBNK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK541153.png
Bank of Baroda,Financial Services,BANKBARODA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532134.png
Bank of India,Financial Services,BANKINDIA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500112.png
Bank of Maharashtra,Financial Services,MAHABANK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532525.png
Bata India Ltd.,Consumer Durables,BATAINDIA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500043.png
Bayer Cropscience Ltd.,Chemicals,BAYERCROP.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK506285.png
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK509480.png
Bharat Dynamics Ltd.,Capital Goods,BDL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK541143.png
Bharat Electronics Ltd.,Capital Goods,BEL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500049.png
Bharat Forge Ltd.,Capital Goods,BHARATFORG.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500493.png
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500103.png
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500547.png
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532454.png
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543653.png
Biocon Ltd.,Healthcare,BIOCON.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532523.png
Birla Corporation Ltd.,Construction Materials,BIRLACORPN.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500335.png
Birlasoft Ltd.,Information Technology,BSOFT.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532400.png
Blue Dart Express Ltd.,Services,BLUEDART.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK526612.png
Blue Star Ltd.,Consumer Durables,BLUESTARCO.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500067.png
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK501425.png
Borosil Renewables Ltd.,Capital Goods,BORORENEW.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK502219.png
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500530.png
Brigade Enterprises Ltd.,Realty,BRIGADE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532929.png
Brightcom Group Ltd.,Information Technology,BCG.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532368.png
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500825.png
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543425.png
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK519600.png
CESC Ltd.,Power,CESC.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500084.png
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500093.png
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532756.png
CRISIL Ltd.,Financial Services,CRISIL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500092.png
CSB Bank Ltd.,Financial Services,CSBBANK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK542867.png
Campus Activewear Ltd.,Consumer Durables,CAMPUS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543523.png
Can Fin Homes Ltd.,Financial Services,CANFINHOME.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK511196.png
Canara Bank,Financial Services,CANBK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532483.png
Capri Global Capital Ltd.,Financial Services,CGCL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK531595.png
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK513375.png
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500870.png
Ceat Ltd.,Automobile and Auto Components,CEATLTD.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500878.png
Central Bank of India,Financial Services,CENTRALBK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532885.png
Central Depository Services (India) Ltd.,Financial Services,CDSL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK201232.png
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532548.png
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500040.png
Cera Sanitaryware Ltd,Consumer Durables,CERA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532443.png
Chalet Hotels Ltd.,Consumer Services,CHALET.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK542399.png
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500085.png
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543336.png
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK504973.png
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK511243.png
Cipla Ltd.,Healthcare,CIPLA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500087.png
City Union Bank Ltd.,Financial Services,CUB.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532210.png
Clean Science and Technology Ltd.,Chemicals,CLEAN.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543318.png
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK533278.png
