Company Name,Industry,Symbol,logo,FNO
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK508869.png,True
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500877.png,True
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543335.png,False
Archean Chemical Industries Ltd.,Chemicals,ACI.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543657.png,False
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK515030.png,False
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500477.png,True
Asian Paints Ltd.,Consumer Durables,ASIANPAINT.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500820.png,True
Aster DM Healthcare Ltd.,Healthcare,ASTERDM.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540975.png,False
Astral Ltd.,Capital Goods,ASTRAL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532830.png,True
Atul Ltd.,Chemicals,ATUL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK531795.png,True
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK524804.png,True
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK512573.png,False
Avenue Supermarts Ltd.,Consumer Services,DMART.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540376.png,False
Axis Bank Ltd.,Financial Services,AXISBANK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532215.png,True
BEML Ltd.,Capital Goods,BEML.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500048.png,False
BLS International Services Ltd.,Consumer Services,BLS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540073.png,False
BSE Ltd.,Financial Services,BSE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK201890.png,False
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532977.png,True
Bajaj Finance Ltd.,Financial Services,BAJFINANCE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500034.png,True
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532978.png,True
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500490.png,False
Balaji Amines Ltd.,Chemicals,BALAMINES.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK530999.png,False
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK502355.png,True
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500038.png,True
Bandhan Bank Ltd.,Financial Services,BANDHANBNK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK541153.png,True
Bank of Baroda,Financial Services,BANKBARODA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532134.png,True
Bank of India,Financial Services,BANKINDIA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500112.png,False
Bank of Maharashtra,Financial Services,MAHABANK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532525.png,False
Bata India Ltd.,Consumer Durables,BATAINDIA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500043.png,True
Bayer Cropscience Ltd.,Chemicals,BAYERCROP.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK506285.png,False
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK509480.png,True
